valPhen	valEtat	valCtrl
20.6786	20	20.6786
27.3238	20.6107	24
24.6446	23.9935	24
23.6057	24.0638	23.6057
26.127	23.6515	24
27.7576	24.1779	24
26.994	24.3935	24
23.7026	24.3388	23.7026
29.1733	23.7662	24
29.393	24.4939	24
20.1796	24.5887	20.1796
21.5871	20.6205	21.5871
21.4365	21.4905	21.4365
26.8831	21.4419	24
23.4506	24.0325	23.4506
27.2933	23.5088	24
22.9237	24.2802	22.9237
25.3593	23.0593	24
29.1041	24.0419	24
29.8143	24.5146	24
22.5728	24.6329	22.5728
25.8881	22.7789	24
24.5043	24.0667	24
20.3464	24.0571	20.3464
24.2687	20.7175	24
29.1613	23.6986	24
21.0921	24.486	21.0921
22.6466	21.4315	22.6466
24.5851	22.5251	24
25.4572	23.911	24
23.4677	24.1368	23.4677
25.2637	23.5346	24
22.781	24.0798	22.781
28.1123	22.9109	24
28.8694	24.3023	24
28.908	24.5172	24
25.8699	24.5425	24
25.8634	24.2412	24
22.6105	24.2105	22.6105
25.0432	22.7705	24
25.2565	23.9814	24
22.7901	24.1238	22.7901
26.6303	22.9235	24
26.693	24.1554	24
29.6732	24.2848	24
20.0809	24.5958	20.0809
23.9863	20.5324	23.9863
22.5969	23.6409	22.5969
25.4402	22.7013	24
23.0904	24.0142	23.0904
