valPhen	valEtat	valCtrl
22.816	20	22.816
24.5237	22.5344	24
20.0974	23.9058	20.0974
21.8039	20.4782	21.8039
23.2097	21.6714	23.2097
23.7611	23.0559	23.7611
22.0263	23.6905	22.0263
23.6705	22.1927	23.6705
22.9817	23.5227	22.9817
22.3062	23.0358	22.3062
29.596	22.3792	24
22.5451	24.3975	22.5451
21.327	22.7303	21.327
20.7008	21.4673	20.7008
21.8696	20.7774	21.8696
29.0736	21.7603	24
24.0369	24.2834	24
22.6617	24.032	22.6617
20.967	22.7988	20.967
27.1006	21.1502	24
24.9463	24.0251	24
26.4374	24.0971	24
24.9416	24.2535	24
28.2791	24.1195	24
23.0263	24.4399	23.0263
22.5604	23.1677	22.5604
25.2917	22.6212	24
24.1508	23.9913	24
23.7851	24.0142	23.7851
24.6933	23.808	24
28.2109	24.0501	24
26.6011	24.4261	24
29.217	24.3027	24
28.3083	24.552	24
28.405	24.486	24
22.4267	24.4891	22.4267
22.0694	22.633	22.0694
20.4313	22.1257	20.4313
26.0972	20.6007	24
25.0511	23.8698	24
22.7375	24.0921	22.7375
25.6932	22.8729	24
27.5961	24.0566	24
24.0645	24.3653	24
26.394	24.043	24
29.4657	24.2437	24
23.1381	24.5709	23.1381
20.4309	23.2814	20.4309
22.1274	20.716	22.1274
24.1051	21.9863	24
