valPhen	valEtat	valCtrl
-0.729908	20	-2
-0.264601	0.327009	35.346
-0.850204	28.283	16.7799
3.99209	16.1672	22.4455
6.0598	19.9723	20.5008
9.46426	19.0039	20.4931
10.7808	19.2413	20.0105
10.0617	19.0106	19.9893
9.70547	18.8987	20.192
11.4933	19.014	20.164
9.38454	19.1819	19.8001
6.63536	18.6968	20.4066
3.39525	18.8585	20.6896
-0.726003	18.7771	21.1355
-0.460218	18.7135	21.7085
1.29495	19.1921	21.3242
2.66293	19.1081	21.108
7.22312	19.0635	20.981
9.914	19.4134	20.1541
11.6436	19.056	20.0421
10.2645	19.1036	19.8348
9.82347	18.8047	20.2255
8.28761	19.0432	20.1391
8.7857	18.8443	20.4504
6.57634	19.1233	20.2038
2.57156	18.733	20.7378
-0.58131	18.7207	21.2964
0.497325	18.8511	21.5943
-0.691529	19.2103	21.1738
2.6111	18.7909	21.592
9.23632	19.4138	20.7644
9.88842	19.4765	19.8113
10.9829	18.7856	20.2402
10.2721	19.169	19.9022
11.1537	18.8659	20.1705
11.6512	19.1383	19.8938
9.22072	18.994	19.9058
5.67413	18.7461	20.4136
4.43986	18.7729	20.8678
0.46858	19.0155	20.8368
-0.985227	18.6178	21.6011
-0.0519236	19.0442	21.5128
2.63573	19.1095	21.2939
6.53528	19.2096	20.8746
9.20529	19.2742	20.3262
10.043	19.1089	20.1084
11.5413	19.0019	20.1046
9.91047	19.138	19.8286
10.3718	18.7677	20.2931
10.6185	19.1485	19.9962
